readability,read_grade,compound,neg,neu,pos,readability_text,read_grade_text,compound_text,neg_text,neu_text,pos_text,punctuation_title,punctuation_text,count_text,count_title,punctuation_ratio_text,punctuation_ratio_title,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,class
41.36,10.7,-0.7184,0.375,0.625,0.0,20.22,23.0,-0.9847,0.092,0.82,0.08900000000000001,3,371,2482,13,0.14947622884770345,0.2307692307692308,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
79.6,6.4,-0.0516,0.22399999999999998,0.56,0.21600000000000005,49.89,13.7,-0.9778,0.079,0.86,0.061,0,208,1449,17,0.14354727398205658,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
79.26,4.4,0.0,0.0,1.0,0.0,59.43,10.0,0.9792,0.046,0.828,0.126,0,73,346,9,0.2109826589595376,0.0,-0.6547879576683044,-0.6657664775848389,-0.23497679829597476,0.8487161993980408,0.5228021740913391,0.4734025001525879,-0.8491723537445068,-0.2906018793582916,1.1265605688095093,0.8303017020225525,-0.31295493245124817,0.4786384999752045,1.0284309387207031,-1.0092685222625732,1.4096426963806152,-2.045641660690308,-0.4780237674713135,-0.8980157375335693,1.458895921707153,-0.14172883331775665,fake
44.41,9.6,0.4939,0.0,0.738,0.262,64.44,10.1,-0.9822,0.114,0.777,0.109,2,290,2279,10,0.12724879333040806,0.2,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
32.56,10.0,-0.4767,0.4370000000000001,0.563,0.0,64.38,12.2,-0.5859,0.10800000000000001,0.8,0.091,1,14,96,5,0.14583333333333334,0.2,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
71.14,7.6,0.4939,0.0,0.833,0.16699999999999998,63.93,10.3,0.9992,0.10300000000000001,0.765,0.132,3,591,4678,17,0.12633604104318086,0.17647058823529413,-0.009482824243605135,0.03024865128099918,-0.06299487501382828,0.018562333658337597,0.0046450006775558,0.0010889258701354263,0.015396743081510069,-0.055095911026000984,-0.08031567186117172,0.027171680703759197,-0.09700684249401093,-0.019952600821852684,-0.012812546454370022,-0.03076757863163948,0.04826925322413445,-0.006425313651561737,-0.01689065434038639,0.03450729697942734,0.0037845689803361893,0.1243416890501976,fake
206.84,-15.7,0.0,0.0,0.0,0.0,-21.91,39.2,0.9393,0.0,0.818,0.182,0,9,94,1,0.09574468085106384,0.0,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
36.96,10.3,0.0,0.0,1.0,0.0,34.23,23.8,-0.9687,0.095,0.8740000000000001,0.031,1,38,360,10,0.10555555555555557,0.1,-0.6879368424415588,2.1403453350067143,-2.194647312164306,-2.142697811126709,0.40251970291137695,-1.6977169513702393,-0.997018814086914,-0.7856838703155518,5.060081958770752,2.2322583198547363,1.2350976467132568,0.053794562816619866,3.26450252532959,-1.843766570091248,2.377114772796631,-0.21324066817760468,-0.21906806528568268,-1.021064519882202,1.6106383800506592,-1.6001327037811282,fake
206.84,-15.7,0.0,0.0,0.0,0.0,45.43,15.4,-0.8855,0.161,0.764,0.07400000000000001,0,9,102,1,0.08823529411764706,0.0,-0.04512486979365349,0.052224885672330856,-0.03571675345301628,-0.006121033802628517,0.01826430670917034,-0.0005838836077600718,0.004356072284281254,0.03900199010968208,0.024956647306680683,0.01390949171036482,-0.020994612947106358,-0.044922634959220886,-0.039057184010744095,-0.0512959249317646,0.026338376104831696,-0.0012225782265886664,-0.022840024903416637,0.016801046207547188,0.003233690746128559,0.014648793265223503,fake
46.44,8.8,0.0516,0.258,0.469,0.273,37.57,16.3,-0.9954,0.133,0.7829999999999999,0.083,5,155,913,8,0.16976998904709747,0.625,-0.9059928059577942,-0.2667195796966553,-1.869326114654541,-1.3980857133865356,-0.7836892604827881,-1.8978575468063357,-0.21826903522014615,-0.7203141450881958,-1.7697135210037231,-1.0904766321182249,2.8981304168701167,0.3838014602661133,2.6852197647094727,1.6865837574005127,5.880551338195801,-0.7190836071968079,-2.1305410861968994,-0.3041969239711761,1.3989851474761963,0.08076420426368712,fake
